act 0.2.89
ada-url 4.0.0
aider 0.86.2
bat 0.26.1
brotli 1.2.0
c-ares 1.34.8
ca-certificates 2026-08-13
cairo 1.18.4
certifi 2026.7.22
cloudflared 2026.8.3
coreutils 9.11
dav1d 1.5.4
eslint 10.9.1
fd 10.5.0
ffmpeg 9.0.1_1
fmt 12.2.0
fontconfig 2.18.3
freetype 2.14.3
fzf 0.74.3
gawk 5.4.1
gcc 16.2.0
gdbm 1.26
gettext 1.0
gh 2.100.0
ghc 9.14.1
giflib 6.1.3
git-delta 0.19.2
git-filter-repo 2.47.0
glib 2.88.3
gmp 6.3.0
gnupg 2.5.22
gnutls 3.8.13_2
go 1.27.1
gpgme 2.2.0
gpgmepp 2.2.0
graphite2 1.3.15
h2 2.5.250
harfbuzz 14.4.0
hdrhistogram_c 0.11.10
htop 3.5.3
http-server 14.1.1
icu4c@76 76.1_2
icu4c@77 77.1_1
icu4c@78 78.3
isl 0.28
jemalloc 5.3.1
jpeg-turbo 3.2.0
json-c 0.19
lame 4.0
libassuan 3.0.2
libevent 2.1.13
libffi 3.8.0
libgcrypt 1.12.3
libgit2 1.9.7
libgpg-error 1.61
libidn2 2.3.8
libksba 1.8.1
libmpc 1.4.1
libnghttp2 1.70.0
libnghttp3 1.18.0
libngtcp2 1.25.0
libomp 23.1.0
libpng 1.6.58
libssh2 1.11.1_4
libtasn1 4.21.0
libtiff 4.7.2
libunistring 1.4.2
libusb 1.0.30
libuv 1.52.1
libvmaf 3.2.0
libvpx 1.17.0
libx11 1.8.13
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.7
libxrender 0.9.12
libyaml 0.2.5
lima 2.2.0
little-cms2 2.19.1
llhttp 9.4.3
llm 0.34
lmdb 1.0.1
localtunnel 2.0.2
lpeg 1.1.0_2
luajit 2.1.1788460057
luv 1.52.1-0
lz4 1.10.0
lzo 2.10
merve 1.2.2_2
mlx 0.32.1
mlx-c 0.6.0_4
mpdecimal 4.0.1
mpfr 4.2.2
mpg123 1.33.7
nbytes 0.1.4
ncdu 2.9.2
ncurses 6.6
neovide 0.16.2
neovim 0.12.5_1
nettle 4.0
node 26.8.1
npth 1.8
nspr 4.40
nss 3.128
ollama 0.33.2
oniguruma 6.9.10
openblas 0.3.34
openjdk 26.0.2.1
openjpeg 2.5.4
openssl@3 3.6.4
opus 1.6.1
p11-kit 0.26.5
pcre2 10.48
pinentry 1.3.3
pipx 1.17.2
pixman 0.46.4
poppler 26.08.0
prettier 3.9.6
pydantic 2.13.5
python-setuptools 84.0.0
python@3.10 3.10.21
python@3.11 3.11.16
python@3.12 3.12.14
python@3.13 3.13.15
python@3.14 3.14.7
python@3.9 3.9.25
qpdf 12.4.1
readline 8.3.3
ripgrep 15.2.0
sdl2-compat 2.32.72
sdl3 3.4.16
sevenzip 26.02
simdjson 4.6.10
simdutf 9.1.0
sqlite 3.53.4
stylua 2.5.2
svt-av1 4.2.0
tldr 0.6.1
tmux 3.7c
tree 2.3.2
tree-sitter 0.27.0
tree-sitter-cli 0.27.0
tree-sitter@0.25 0.25.10
unbound 1.26.0
unibilium 2.1.4
utf8proc 2.11.3
uv 0.12.9
uvwasi 0.0.23
webp 1.6.0
x264 r3222
x265 4.3
xorgproto 2025.1
xz 5.8.3
yarn 1.22.22
yq 4.53.6
zsh-syntax-highlighting 0.8.0
zstd 1.5.7_1
alacritty 0.17.0
audacity 3.7.9
codex 0.153.2
jordanbaird-ice 0.11.12
miro 0.11.168
spotmenu 2.3.0
